song_name,song_popularity,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,audio_valence
falling away from me,0.71,0.00013953829551110582,0.4741641337386019,0.7695229124287275,0.0012437311935807422,0.36363636363636365,0.2667418726284484,0.7863603697370704,1.0,0.04357066950053136,0.4296090261557127,0.17276422764227645
crawling in the dark,0.61,0.0002951609448435379,0.5997973657548126,0.9328610223161946,7.61283851554664e-05,0.5454545454545454,0.13034560557891497,0.8494287909201299,0.0,0.0940488841657811,0.3865787931561006,0.709349593495935
i stand alone,0.67,4.696791958562046e-05,0.21580547112462006,0.9308568737286184,0.0,0.0,0.11803917546918265,0.8497509478849157,1.0,0.07130712008501595,0.6983426736767389,0.3922764227642277
woman,0.63,5.0180774281515826e-05,0.22188449848024316,0.9529025081919573,0.09919759277833501,0.18181818181818182,0.14983078658599117,0.8709885262557926,1.0,0.18703506907545167,0.4658589126684769,0.17479674796747968
show me how to live,0.72,0.0003363256456346973,0.4387031408308004,0.8546992274007195,0.00017753259779338014,0.8181818181818182,0.15495846579837966,0.8648675439248631,1.0,0.05132837407013816,0.3689366865028599,0.3739837398373984
the red,0.71,0.0006726713716112441,0.5157041540020264,0.8436764101690499,0.0008054162487462388,0.09090909090909091,0.3457081324992308,0.8784972616657993,0.0,0.05185972369819342,0.5779801748116112,0.3373983739837399
remedy,0.7000000000000001,0.000179698979209798,0.5531914893617023,0.9599170282484744,0.001444332998996991,0.7272727272727273,0.04871295251769049,0.8451416251579809,1.0,0.08714133900106272,0.5275340668047772,0.42276422764227645
plug in baby,0.65,5.943781187406436e-06,0.4133738601823708,0.9659294740112032,0.00040320962888666,0.18181818181818182,0.10163060198953953,0.8558471489108617,1.0,0.05313496280552604,0.5613202485989485,0.3546747967479675
change (in the house of flies) - in the house of flies lp version,0.6900000000000001,0.0002489761585900419,0.27254305977710236,0.8536971531069314,0.000246740220661986,0.6363636363636364,0.10983488872936109,0.8455629073427007,0.0,0.09075451647183848,0.5842776846953176,0.18191056910569106
judith,0.66,3.2309270035597824e-05,0.369807497467072,0.8947821991522452,0.1715145436308927,1.0,0.26263972925853757,0.8446955616682774,0.0,0.060786397449521794,0.33965697967134095,0.3150406504065041
mia (feat. drake),0.9400000000000001,0.014356420324848124,0.828774062816616,0.5400478991512431,0.0005135406218655967,0.5454545454545454,0.0903497077222849,0.8033603449557654,0.0,0.05781083953241233,0.40056454741290365,0.17682926829268292
"taki taki (with selena gomez, ozuna & cardi b)",0.98,0.15361359105006311,0.8520770010131713,0.7985830669485836,3.3400200601805414e-06,0.09090909090909091,0.052199774382114664,0.8564914628404332,0.0,0.24335812964930928,0.3959590290444787,0.600609756097561
white boi,0.59,0.09869385609210163,0.8409321175278622,0.496958704518353,0.0,0.09090909090909091,0.08173520664547226,0.7887393750154883,1.0,0.05526036131774708,0.528087059153674,0.644308943089431
just wanna love you (feat. j. balvin),0.73,0.05592272795299449,0.696048632218845,0.7665166895473631,0.0010732196589769308,1.0,0.13854989231873652,0.8100512973013159,1.0,0.05738575982996812,0.3919353906849677,0.3079268292682927
beautiful (feat. camila cabello),0.9400000000000001,0.3473888898962527,0.6464032421479231,0.7174150491517441,0.0,0.18181818181818182,0.09650292277715106,0.8437043094689366,1.0,0.035812964930924555,0.41279228121724343,0.2530487804878049
celoso,0.87,0.3534129924510565,0.7558257345491388,0.7033860090387101,0.0,0.36363636363636365,0.32827402317711,0.8571605580749883,0.0,0.11370882040382572,0.6852276760290197,0.6778455284552847
good vibes,0.73,0.03493877072042784,0.8338399189463019,0.6302345855921758,6.740220661985958e-06,0.6363636363636364,0.08768331453184289,0.8632815404059178,1.0,0.0846971307120085,0.4128459297287036,0.1869918699186992
real friends,0.85,0.235942992632382,0.7102330293819655,0.5119898189251751,5.085255767301906e-06,0.0,0.1272689980514819,0.7904988476693182,0.0,0.10297555791710947,0.3794476679404749,0.6737804878048781
pa la calle,0.61,0.11746897572124021,0.7041540020263425,0.8847614562143638,0.0,0.0,0.09547738693467336,0.8051198176095953,1.0,0.13921360255047824,0.30947762857072114,0.8678861788617886
pa mí,0.58,0.718875214109155,0.7315096251266464,0.5841391680779213,0.0003219658976930792,1.0,0.10675828120192801,0.7508983223056526,0.0,0.33793836344314565,0.7014666677671489,0.6565040650406505
